,City,Latitude,Longitude,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
147,Fairbanks,64.8378,-147.7164,6.8,78,90,2.55,US,1616140030
148,Corinth,37.9407,22.9573,53.01,62,60,3.0,GR,1616140031
149,Mandurah,-32.55,115.7,82.99,57,100,8.99,AU,1616140033
150,Fes,34.0372,-4.9998,51.8,93,75,3.44,MA,1616140034
151,Joshīmath,30.5667,79.5667,66.42,32,100,7.11,IN,1616140036
152,Raton,36.9034,-104.4391,33.8,75,1,3.44,US,1616140037
153,Buchanan,5.8808,-10.0467,73.4,94,75,4.61,LR,1616140038
155,Puerto Carreño,6.189,-67.4859,77.47,64,30,10.63,CO,1616140041
156,Zastron,-30.3023,27.084,74.14,26,0,12.26,ZA,1616140043
157,Qaanaaq,77.484,-69.3632,-10.21,81,100,6.4,GL,1616140044
158,Barinas,8.6226,-70.2075,78.8,73,97,3.44,VE,1616140045
159,Mangit,40.5971,70.9607,60.8,31,100,2.3,UZ,1616140048
160,Lompoc,34.6391,-120.4579,55.4,76,75,4.27,US,1616140049
161,Zhezkazgan,47.8043,67.7144,33.13,69,100,20.56,KZ,1616140051
162,Mahébourg,-20.4081,57.7,84.2,70,40,10.36,MU,1616139997
163,Half Moon Bay,37.4636,-122.4286,53.6,93,90,8.05,US,1616140053
164,Berlevåg,70.8578,29.0864,19.4,86,100,25.32,NO,1616140055
165,Bengkulu,-3.8004,102.2655,83.43,71,85,6.98,ID,1616140056
166,Progreso,21.2833,-89.6667,75.99,83,75,5.75,MX,1616140058
167,Ouadda,8.0777,22.4007,87.28,49,94,3.36,CF,1616140059
168,Houma,29.5958,-90.7195,54.0,71,1,6.91,US,1616139795
169,Lagoa,39.05,-27.9833,58.44,82,100,17.07,PT,1616140062
170,Ust-Kuyga,70.0167,135.6,0.97,88,100,12.62,RU,1616140063
171,Faanui,-16.4833,-151.75,82.38,66,2,5.3,PF,1616140064
172,Mount Isa,-20.7333,139.5,95.0,24,69,6.91,AU,1616139940
173,Hamilton,39.1834,-84.5333,39.0,70,90,23.02,US,1616139772
174,Codrington,-38.2667,141.9667,66.94,77,0,15.19,AU,1616140068
175,Thompson,55.7435,-97.8558,32.0,59,1,4.61,CA,1616140070
176,Venado Tuerto,-33.7456,-61.9688,55.0,60,100,4.0,AR,1616140071
177,Tessalit,20.1986,1.0114,74.53,14,0,8.68,ML,1616140073
178,Nicoya,10.1483,-85.452,73.27,89,100,2.37,CR,1616139914
179,Ayan,56.45,138.1667,20.41,62,0,10.58,RU,1616140075
180,Bam,29.106,58.357,87.91,12,98,15.08,IR,1616139911
181,Deputatsky,69.3,139.9,-18.38,96,100,4.38,RU,1616140078
182,Pindiga,9.9833,10.9333,84.36,52,75,12.3,NG,1616140079
183,Egvekinot,66.3167,-179.1667,-15.38,71,0,5.3,RU,1616139851
184,Coquimbo,-29.9533,-71.3436,57.2,77,75,2.3,CL,1616140082
185,Dakar,14.6937,-17.4441,66.2,94,40,9.22,SN,1616139924
186,Caluquembe,-13.7833,14.6833,67.96,75,70,3.33,AO,1616140084
187,Kloulklubed,7.0419,134.2556,86.0,70,75,10.36,PW,1616140087
188,Tabou,4.423,-7.3528,78.13,80,88,0.76,CI,1616140088
189,Bluff,-46.6,168.3333,55.0,82,45,5.99,NZ,1616140090
